Name,Email,Age,"Feeling nervous, anxious or on edge",Not being able to stop or control worrying,Worrying too much about different things,Trouble relaxing,Being so restless that it is hard to sit still,Becoming easily annoyed or irritable,Feeling afraid as if something awful might happen,Feeling tired or having little energy,Poor appetite or overeating,Feeling bad about yourself—or that you are a failure,Trouble concentrating on things,Moving or speaking so slowly that other people could have noticed,Thoughts that you would be better off dead or of hurting yourself in some way,Anxiety_Score,Stress_Score,Anxiety_Level,Stress_Level
Brittany Nguyen,simpsontony@example.net,18,Several days,Not at all,Several days,Not at all,Not at all,Several days,Several days,Several days,Several days,More than half the days,Several days,Not at all,Not at all,4,2,Low,Low
Mindy Baker,hayesamanda@example.com,19,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,More than half the days,Several days,More than half the days,Not at all,Nearly every day,2,1,Low,Low
Nicole Bush,davidgillespie@example.org,18,Not at all,Not at all,More than half the days,Not at all,Not at all,Not at all,Several days,Several days,More than half the days,Several days,Nearly every day,More than half the days,Nearly every day,3,3,Low,Low
Karen Johns,jorgefaulkner@example.net,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Several days,More than half the days,Nearly every day,Not at all,0,3,Low,Low
Brittney Lam,ymoore@example.com,19,Not at all,Not at all,More than half the days,Not at all,Not at all,More than half the days,Several days,Several days,Not at all,More than half the days,Nearly every day,Nearly every day,Not at all,5,4,Low,Low
Beth Hammond,patricia56@example.net,19,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,Nearly every day,Several days,Not at all,Nearly every day,More than half the days,4,5,Low,Low
Matthew Taylor,pward@example.net,18,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Nearly every day,More than half the days,Not at all,More than half the days,More than half the days,More than half the days,1,5,Low,Low
John Kelly,ericjensen@example.org,20,Not at all,Not at all,More than half the days,Not at all,More than half the days,Not at all,Not at all,Nearly every day,More than half the days,Several days,Nearly every day,Nearly every day,More than half the days,4,4,Low,Low
Larry Clark,nicholsashley@example.net,17,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,More than half the days,Nearly every day,Not at all,1,0,Low,Low
David Robbins,connie18@example.org,19,Not at all,Several days,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,Not at all,More than half the days,More than half the days,2,2,Low,Low
Cynthia Smith,ryan00@example.com,21,Several days,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,More than half the days,Nearly every day,More than half the days,Not at all,3,5,Low,Low
Lori Black,alexandergabriela@example.org,19,Not at all,Several days,Several days,Not at all,Not at all,Several days,Several days,More than half the days,Several days,Not at all,Not at all,Several days,Nearly every day,4,1,Low,Low
Calvin Davis,rgarcia@example.net,20,Several days,More than half the days,Not at all,Several days,Several days,Not at all,Not at all,More than half the days,Several days,Several days,Nearly every day,Nearly every day,Not at all,5,3,Low,Low
Martin Price,turnerlinda@example.org,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,More than half the days,Several days,Several days,More than half the days,More than half the days,3,5,Low,Low
Catherine Collins,scottxavier@example.net,18,Not at all,More than half the days,Not at all,Not at all,Nearly every day,Not at all,Not at all,Nearly every day,More than half the days,Not at all,Nearly every day,More than half the days,Several days,5,4,Low,Low
Tonya Martinez,oscott@example.net,17,Not at all,Not at all,Not at all,Several days,Several days,Several days,Not at all,Several days,Nearly every day,Nearly every day,Not at all,Not at all,Not at all,3,4,Low,Low
Dawn Cooper,dennishebert@example.net,17,Several days,Not at all,Not at all,Several days,Several days,More than half the days,Not at all,More than half the days,Several days,Not at all,Nearly every day,Several days,Nearly every day,5,2,Low,Low
Richard Martinez,destinydavis@example.net,18,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,More than half the days,Nearly every day,More than half the days,Several days,Not at all,2,5,Low,Low
Jennifer Perez,ehouse@example.net,20,Not at all,Not at all,Several days,Several days,More than half the days,Not at all,Not at all,More than half the days,Several days,Several days,More than half the days,More than half the days,More than half the days,4,0,Low,Low
Daniel Harris,josephrocha@example.com,19,Not at all,Not at all,More than half the days,Several days,Not at all,Not at all,Several days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Not at all,4,4,Low,Low
William Meyer,adam58@example.com,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Not at all,More than half the days,Several days,Nearly every day,0,3,Low,Low
Michael Chase,todd77@example.org,17,Nearly every day,Not at all,Several days,Not at all,Several days,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Nearly every day,Nearly every day,5,1,Low,Low
Aaron Gomez,davidwhite@example.com,21,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,1,5,Low,Low
Mrs. Gina Gilbert,heather84@example.net,20,Several days,More than half the days,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Several days,Several days,Not at all,Several days,3,0,Low,Low
Matthew Lawrence,pearsonjason@example.org,21,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,Nearly every day,2,0,Low,Low
Bryan Malone,hhill@example.org,21,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,More than half the days,Several days,Nearly every day,1,1,Low,Low
Jeffrey Rice,bakerelizabeth@example.com,17,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Several days,Not at all,Nearly every day,Several days,1,4,Low,Low
Nicole Ferrell,tolsen@example.net,18,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,Several days,Not at all,Not at all,Nearly every day,2,2,Low,Low
Tonya Jones,stevensmichelle@example.net,20,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,More than half the days,Not at all,Not at all,2,1,Low,Low
Timothy Smith,stephen13@example.com,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Several days,Nearly every day,Not at all,Not at all,0,0,Low,Low
Shaun Thompson,johnsonyesenia@example.org,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Not at all,Nearly every day,Not at all,0,3,Low,Low
Keith Thompson,mholmes@example.com,19,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Nearly every day,Nearly every day,1,4,Low,Low
Richard Lee,greenamanda@example.org,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Nearly every day,Not at all,Several days,Not at all,0,2,Low,Low
Matthew Campbell,qellis@example.org,19,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Not at all,Several days,Not at all,More than half the days,Not at all,3,5,Low,Low
Daniel Fischer,mitchellelizabeth@example.com,21,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not at all,More than half the days,Several days,More than half the days,More than half the days,Several days,More than half the days,2,4,Low,Low
Douglas Medina,stevensonchristina@example.org,19,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,More than half the days,More than half the days,Several days,Several days,Nearly every day,1,3,Low,Low
James Browning,michele80@example.com,20,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,Several days,Several days,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,4,0,Low,Low
Patrick Hernandez,ashley12@example.org,17,Not at all,Not at all,Nearly every day,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,More than half the days,Not at all,Nearly every day,Not at all,3,3,Low,Low
Laura Harris,jeffrey60@example.net,20,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,Nearly every day,Several days,5,3,Low,Low
Diana Ibarra,winterssarah@example.com,20,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,Several days,More than half the days,Not at all,More than half the days,Not at all,More than half the days,Several days,3,3,Low,Low
Robert Beck,jayjohnson@example.com,21,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Nearly every day,Not at all,Nearly every day,Several days,Nearly every day,Several days,2,0,Low,Low
Elizabeth Ferguson,contrerasjonathon@example.org,17,Several days,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,Nearly every day,Nearly every day,More than half the days,More than half the days,Not at all,Not at all,3,2,Low,Low
Lisa Riggs,charles18@example.net,21,Not at all,More than half the days,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,Several days,More than half the days,Several days,Nearly every day,Several days,3,0,Low,Low
Jordan Berry,yvette44@example.com,19,Several days,Several days,Not at all,Not at all,Several days,Not at all,More than half the days,Not at all,More than half the days,More than half the days,More than half the days,Not at all,Not at all,5,0,Low,Low
Angela King,tiffany80@example.org,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Nearly every day,Not at all,Not at all,Nearly every day,0,1,Low,Low
Kimberly Mejia,robert67@example.org,19,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Several days,Not at all,Nearly every day,2,3,Low,Low
Eric Lopez,austinmorris@example.net,20,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Not at all,Several days,More than half the days,Nearly every day,1,0,Low,Low
Holly Griffin,tuckerbrandi@example.org,19,Not at all,Not at all,More than half the days,Several days,Not at all,Several days,Not at all,Several days,More than half the days,More than half the days,Several days,More than half the days,Nearly every day,4,1,Low,Low
Nathan Berry,castanedakatherine@example.com,18,Several days,Several days,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,More than half the days,Nearly every day,3,5,Low,Low
Jeffrey Caldwell,mcdanielmatthew@example.com,19,Several days,Not at all,Not at all,Nearly every day,Not at all,Not at all,Not at all,More than half the days,Not at all,Nearly every day,Several days,Nearly every day,Not at all,4,3,Low,Low
